"","portfolio","returns_vec"
"",0,1.46573248871462e-06
"AAPL",-0.0692235616027113,0.000604943665509935
"ABBV",-0.244552381037147,0.000977960601589404
"ABT",-0.297919729675536,0.000597458294172185
"ACN",0.293402185329343,0.000714676433509934
"ADBE",0.132229822347446,0.00130799936569536
"AIG",0.361392518364649,0.000823479825827815
"AMD",0.0065162903940131,0.000652422933774834
"AMGN",-0.46863465382286,0.00101035631948344
"AMT",-0.274464174890123,0.000405478414185431
"AMZN",-0.0457410532837683,0.00147082893190729
"AVGO",0.689161453957297,0.00228071836117881
"AXP",-0.876085785849662,0.000340931011258278
"BA",0.0425018838585334,0.00100895089327152
"BAC",-0.240208307087643,0.00058474865192053
"BK",0.0211707786980674,0.000719730236688742
"BKNG",-0.0154196172731566,0.00104837738554967
"BLK",0.00811552235610829,0.000817862291523179
"BMY",0.296902983671949,0.00119846297496689
"C",-0.790737984710275,0.000406703633642384
"CAT",-0.313642830194655,-0.000222692321019868
"CHTR",0.661767942734473,0.00126913284337748
"CL",-0.627552923215133,0.000434963412980132
"CMCSA",-0.847192700493469,0.00064479436423841
"COF",-0.0644504121088342,0.000375194450993378
"COP",0.11927394572809,-3.34724009271526e-05
"COST",0.639714056445742,0.000749755317298013
"CRM",-0.31476731606086,0.00100737464503311
"CSCO",-0.0954779465915792,0.000589212602649007
"CVS",0.746623996970574,0.00101299468674172
"CVX",0.414867527636152,-4.06266735364239e-05
"DE",-0.0541440669566154,-1.47931070198674e-05
"DHR",-0.417412794692371,0.00070972047192053
"DIS",0.554235740191931,0.00107995898688742
"DUK",-0.535875557408156,0.000344958686622517
"EMR",-0.599790290468454,1.61636463576155e-05
"F",-0.279807051239313,0.000315006365960265
"FDX",-0.0821344595280109,0.000712536184887417
"GD",-0.104929440125623,0.00102056262096689
"GE",1.10301067849323,0.000734123075231788
"GILD",0.284816421470025,0.00150708546328477
"GM",-0.224707191765507,0.00042174439589404
"GOOG",-0.977506618091055,0.00110304539936424
"GOOGL",1.06663528217133,0.0011275627169404
"GS",-0.686489562771673,0.000550803953655629
"HD",0.337607861126645,0.00111908204765563
"HON",-0.121495992531217,0.000764517753629139
"IBM",-1.3983021935117,-0.000298554488715232
"INTC",0.496787781100824,0.000863549410463577
"INTU",-0.281759815404197,0.000724831022543046
"JNJ",0.605813610222322,0.000649026549218543
"JPM",0.739886852328836,0.000693795366092715
"KO",-0.336377491173358,0.00034059110794702
"LIN",-1.31634806695171,7.04581292715254e-06
"LLY",0.15232803085123,0.000918235743708609
"LMT",2.21944456136773,0.00131457127150993
"LOW",0.513054586896774,0.00113370789477886
"MA",0.0534334065099093,0.000966581295602649
"MCD",-0.010765351585015,0.000534896953734702
"MDLZ",0.133844346493594,0.000836285178543047
"MDT",0.37494459587999,0.000950129112185431
"MET",-0.0268658690414138,0.000627653482516556
"META",0.0774874981668759,0.00200649349350993
"MMM",0.468433230419139,0.000778447452596026
"MO",1.48858568693463,0.00100503977854305
"MRK",-0.338305359368573,0.000529739786225165
"MS",0.409879438909565,0.000813633321854305
"MSFT",0.525036221556331,0.00115184718476821
"NEE",0.761421111120832,0.000693141857205298
"NFLX",0.295070379552144,0.00340266067623841
"NKE",0.331293937268161,0.00130389559029139
"NVDA",0.318521003717826,0.00148441678264901
"ORCL",-0.275886796251925,0.000205552659337748
"PEP",0.486013751172932,0.000635084505324503
"PFE",-0.735545269596447,0.000484341880529801
"PG",-0.370921810028155,0.000346025620927152
"PM",-0.779119422919308,0.000250274689403974
"QCOM",-0.545137468369794,-0.000133884798807947
"RTX",-0.828357630524359,0.000323469855059603
"SBUX",-0.361715234420508,0.00116824317695364
"SCHW",-0.0579130722108204,0.00122071344355973
"SO",0.616998549245875,0.00031559096781457
"SPG",-0.402258511020197,0.000518294652370861
"T",0.754834414297944,0.000300666707152318
"TGT",0.078487689499549,0.000463175999072847
"TMO",0.647160534114686,0.00113202444268874
"TMUS",0.123810679535306,0.00136983015033113
"TSLA",0.275730541406195,0.00308807223250331
"TXN",-0.397628953990803,0.000904982161589404
"UNH",0.326480835168752,0.00117689988431788
"UNP",-0.133330487331591,0.000427151225483444
"UPS",-0.29576797177967,0.000467591127483444
"USB",-0.33194606449867,0.000485571761986755
"V",0.399848911471789,0.00103716610140397
"VZ",-0.371932101299013,0.000285587583443709
"WFC",1.14533592158567,0.000746873672715232
"WMT",-1.46868277227879,-9.60967456953591e-06
"XOM",-0.864682881709593,8.46949311258277e-06
