AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
  24.435268,  44.728294,  37.667320,  76.245003,  72.339996,  44.737953,   2.670000, 122.898575,  81.874947,  15.426000,  76.986229,  80.772011, 113.657227,  14.798182,  32.144581,1139.144897, 281.638092,  45.037056,  42.673038,  71.166084, 166.429993,  55.561932,  23.460518,  69.251831,  50.996067, 115.232239,  59.162720,  20.657431,  74.935623,  75.802048,  74.491402,  54.973160,  87.092422,  56.904457,  47.368515,   9.543852, 152.631897, 112.820961, 100.077240,  69.836838,  27.378910,  26.168653,  26.477501, 162.280411,  83.401016,  78.936676, 103.354828,  28.187447,  84.318008,  81.205574,  48.268318,  31.347851, 108.749237,  58.181389, 150.638916,  57.393452,  80.792526,  73.652313,  30.354677,  57.857265,  34.971943,  78.366852,  93.579010,  27.438778,  41.064392,  30.298128,  40.378063,  21.066462,  49.848572,  42.926762,   4.832576,  38.272781,  72.306305,  20.950949,  69.536369,  50.328697,  56.360435,  57.763062,  34.195175,  27.058937,  32.805531, 117.541969,  12.726719,  58.075912, 124.615608,  27.073481,  14.620667,  41.677059,  87.571022,  96.475914,  82.431808,  32.932156,  62.132999,  29.792967,  41.823162,  23.641945,  61.518932
  23.746891,  43.886539,  37.675716,  74.957664,  71.980003,  43.852928,   2.660000, 121.438156,  80.692032,  15.109500,  75.755547,  78.635956, 112.870049,  14.368297,  31.318333,1094.778320, 274.351074,  44.333241,  41.328194,  67.409485, 160.500000,  55.151512,  22.982071,  67.656738,  48.569107, 113.922127,  58.094112,  20.245928,  74.194923,  72.772110,  72.897690,  54.428036,  85.819702,  56.085228,  46.394924,   9.171044, 150.286514, 110.465965,  98.240211,  71.220177,  26.978127,  25.623152,  25.973000, 157.213623,  81.651253,  77.432449, 101.728539,  27.869602,  83.985222,  80.638397,  46.769836,  31.347851, 105.878799,  57.608383, 147.506302,  56.020084,  78.520035,  72.838875,  29.900881,  57.615776,  33.804272,  77.108192,  91.468567,  27.281895,  41.674725,  29.351067,  40.006760,  20.843340,  47.311428,  42.235634,   4.750956,  37.736053,  71.762695,  20.837265,  69.205750,  49.949764,  56.094872,  56.799030,  33.540142,  26.154583,  32.665985, 118.023987,  12.606482,  57.035137, 122.903748,  26.706553,  14.006000,  41.030216,  86.128593,  93.214226,  80.781395,  32.138794,  60.761501,  29.545540,  40.676262,  23.573141,  59.835670
  23.749132,  43.669296,  37.247868,  74.416985,  70.529999,  43.231007,   2.630000, 117.525726,  80.478462,  14.764500,  74.032616,  76.960068, 111.540619,  13.938399,  30.412624,1077.203369, 270.087799,  44.257565,  39.873260,  66.975761, 156.309998,  54.572075,  22.682266,  66.397469,  46.563885, 115.427551,  57.125378,  20.238447,  74.250092,  72.738434,  72.290573,  54.056084,  85.364494,  57.005997,  46.318260,   9.084058, 150.277618, 110.596352,  96.123672,  71.852982,  27.386759,  25.029282,  25.332001, 154.033218,  81.401268,  77.251312,  99.534683,  27.350197,  81.406052,  80.242180,  45.557140,  31.585888, 104.523117,  57.899044, 146.812805,  56.147247,  78.350243,  72.973145,  29.694618,  57.326004,  32.779308,  76.069290,  90.493179,  27.444376,  43.311840,  28.505758,  39.419563,  20.924295,  46.501431,  41.987194,   4.606914,  37.346489,  71.219086,  21.011135,  68.890518,  50.378395,  55.298187,  55.995651,  33.267231,  25.196507,  33.058041, 121.309113,  12.625266,  57.027443, 121.756004,  26.647051,  14.085333,  40.352238,  85.954796,  91.286507,  80.251167,  31.712719,  60.369965,  29.843725,  39.827576,  23.754789,  59.517544
  24.082134,  45.434284,  37.549870,  75.978958,  71.110001,  43.438316,   2.580000, 121.630325,  81.324562,  14.921000,  76.032455,  78.640869, 113.272392,  14.004540,  31.040264,1066.839844, 275.803772,  44.832741,  40.242889,  68.013641, 156.789993,  55.006634,  22.661734,  67.153046,  46.874664, 117.437469,  56.855732,  20.425497,  75.589638,  72.677826,  71.978561,  54.383156,  86.237755,  57.188786,  46.218613,   9.345022, 151.384018, 110.172607,  96.163582,  73.199539,  28.164751,  24.986401,  25.257500, 156.328781,  84.191254,  77.810448,  98.884155,  27.923872,  82.203331,  82.013588,  45.626648,  31.980160, 105.694695,  57.492115, 148.706406,  57.817318,  79.569038,  74.244644,  30.626961,  58.758755,  33.213943,  76.069290,  91.149139,  27.948666,  44.238106,  28.912758,  39.920410,  21.115824,  46.742859,  42.854492,   4.594910,  37.355145,  73.301613,  21.298679,  69.251892,  50.757317,  55.943119,  56.603191,  34.086002,  25.688982,  33.423496, 123.541466,  12.698879,  59.186077, 125.403442,  28.015598,  14.063333,  41.076992,  86.832428,  91.790787,  80.997963,  31.991877,  61.178799,  29.651136,  40.064610,  24.385054,  60.120632
  25.007427,  45.909462,  38.321682,  77.137550,  72.919998,  43.246944,   2.610000, 121.192154,  82.080322,  15.023000,  79.832176,  79.755592, 115.275276,  14.293892,  31.469269,1080.085938, 279.024933,  45.952789,  40.848457,  68.710747, 162.940002,  55.755077,  23.154560,  67.807854,  48.043755, 118.446503,  58.513565,  20.582613,  77.197083,  74.340942,  72.931419,  55.223263,  87.129570,  57.418983,  47.429844,   9.581134, 154.924286, 112.829140,  97.321701,  75.274582,  28.447655,  25.065184,  25.345501, 158.824646,  86.053917,  79.228065, 101.033394,  28.443279,  83.306549,  82.658447,  46.646240,  32.366970, 107.435364,  58.854061, 152.057220,  59.038105,  80.806725,  74.521042,  31.014734,  60.167355,  33.719936,  78.097137,  93.333763,  28.419336,  45.128464,  29.343260,  41.094795,  21.244173,  47.779999,  43.843750,   4.767761,  37.580231,  74.633820,  21.733355,  70.043793,  51.521397,  56.534962,  57.567257,  34.636044,  26.360527,  33.450077, 123.363937,  12.825220,  59.463608, 126.706787,  28.779211,  14.041333,  41.747185,  90.977234,  95.231407,  82.454231,  32.226944,  61.999374,  30.286659,  40.951519,  24.899725,  61.121311
  25.034252,  44.653622,  37.918999,  77.051735,  71.839996,  42.513432,   2.630000, 119.701035,  81.661362,  14.846500,  80.685936,  78.745377, 115.047867,  14.037607,  31.008480,1049.274780, 275.716980,  45.650063,  39.936176,  67.889732, 161.979996,  55.207832,  23.117599,  66.632523,  48.036343, 116.623741,  58.084126,  20.792103,  77.157692,  72.859634,  72.223106,  54.851311,  87.556908,  57.500206,  46.686230,   9.450650, 152.817810, 113.244743,  95.963921,  75.208321,  27.968285,  24.740576,  25.035999, 156.387253,  84.578285,  77.912842, 101.473442,  28.497543,  81.554367,  81.531891,  45.835209,  32.009911, 105.987625,  58.073414, 151.971497,  57.927544,  79.776863,  73.612831,  30.709461,  59.885639,  33.097179,  77.657600,  92.187248,  28.352091,  44.920246,  28.865801,  40.749378,  21.056587,  47.041428,  43.360416,   4.786967,  37.562908,  74.128471,  21.833656,  69.390289,  51.384720,  56.466675,  57.250916,  33.502354,  25.474079,  33.024807, 124.664032,  12.786931,  58.923943, 126.201027,  29.007303,  13.777333,  41.770580,  90.125671,  93.523331,  81.849304,  31.558464,  61.080322,  30.017046,  40.278687,  24.591476,  61.035172
  24.417383,  44.640034,  38.237785,  76.820023,  71.120003,  41.747990,   2.630000, 120.077667,  81.308136,  14.570500,  79.347603,  77.944153, 114.461868,  13.789596,  30.563581,1037.325439, 273.901062,  47.057716,  39.621590,  67.301064, 163.850006,  54.934216,  23.068317,  66.372292,  46.667477, 115.972786,  57.654686,  20.986629,  76.590340,  71.290802,  72.054451,  54.171516,  87.751999,  57.554379,  46.126621,   9.456864, 152.738190, 112.372810,  95.764229,  74.472519,  28.164751,  24.560070,  24.853001, 154.484039,  84.199326,  77.534828,  99.770645,  28.373514,  80.395523,  81.252190,  45.441284,  31.719790, 105.753288,  57.649902, 151.542892,  57.520622,  78.756531,  73.454880,  30.420681,  59.941971,  32.714443,  76.638687,  91.685295,  28.531397,  44.733547,  28.466631,  40.239906,  21.003284,  45.547142,  43.301697,   4.726948,  37.459023,  73.822250,  21.913904,  69.136559,  51.589699,  55.821716,  57.466820,  33.687111,  25.223372,  33.031456, 124.784538,  12.821390,  59.078152, 124.985191,  29.027136,  13.480667,  41.396519,  89.109009,  92.701813,  81.879166,  31.264620,  60.960766,  30.222466,  39.796997,  24.775877,  59.862164
  24.634188,  43.354256,  37.622128,  77.094643,  70.589996,  41.357288,   2.660000, 119.247528,  80.404533,  14.737000,  78.901497,  77.709053, 114.724251,  13.599454,  30.507959,1035.170898, 274.730103,  47.769104,  39.338463,  66.898293, 164.399994,  55.312450,  23.343483,  65.809792,  46.201321, 114.809113,  57.894375,  21.024036,  76.621864,  70.159637,  72.425476,  54.094563,  88.430153,  57.865810,  46.057617,   9.450650, 151.791138, 112.283173,  95.285042,  71.529236,  27.701103,  24.741074,  25.090000, 154.367157,  83.642944,  78.086121, 100.006599,  28.295986,  80.015427,  81.392036,  45.449005,  31.712351, 105.025223,  57.616669, 151.449417,  57.529102,  78.936050,  73.312744,  30.222660,  58.589722,  32.312241,  76.368965,  91.616875,  28.755524,  44.654564,  28.200514,  40.032677,  21.086212,  46.255714,  42.917736,   4.719744,  37.164677,  73.768646,  21.693226,  69.428734,  51.620770,  55.366474,  57.411594,  33.955841,  25.241282,  33.011513, 124.866936,  12.821390,  58.553898, 124.829567,  29.225475,  13.616667,  41.139347,  89.560867,  90.961143,  82.230164,  30.926691,  61.138931,  30.286659,  39.644066,  24.580467,  59.643494
  24.540316,  43.566280,  37.343845,  76.193512,  69.989998,  40.966606,   2.630000, 119.262909,  79.895218,  14.663500,  79.524483,  75.827896, 114.033295,  13.260500,  29.737314,1033.026489, 272.969452,  47.640450,  38.575607,  66.665916, 158.130005,  55.087116,  22.924580,  64.432976,  46.334499, 113.360680,  57.175312,  20.889368,  76.692795,  69.957642,  72.922997,  53.241623,  87.538330,  58.014759,  45.704987,   9.388515, 152.897491, 112.430519,  94.965553,  73.037659,  26.954548,  24.974932,  25.296499, 150.443909,  82.764023,  77.723862,  99.362488,  28.179686,  79.941277,  80.801582,  43.880997,  31.660280, 104.263687,  57.932255, 150.576553,  57.130646,  78.850990,  72.293961,  30.156647,  57.768692,  31.747868,  76.199150,  91.171967,  28.985252,  44.977688,  27.558695,  39.687260,  21.216526,  46.320000,  42.330505,   4.738951,  37.277229,  74.013649,  21.719976,  69.190353,  51.819565,  54.797394,  56.999844,  33.766891,  24.381702,  33.350407, 125.970505,  12.760135,  57.304970, 122.748108,  29.324646,  12.846000,  41.076992,  89.786804,  90.578880,  81.677574,  30.368401,  59.915138,  30.151854,  39.185326,  23.837360,  59.471184
  23.874285,  43.012299,  37.065521,  75.669991,  70.290001,  40.185219,   2.520000, 116.772484,  79.090202,  14.347500,  77.932297,  74.791595, 113.823387,  12.566057,  29.594307, 995.701965, 270.364105,  46.641472,  37.144241,  65.845963, 160.490005,  54.982494,  22.998501,  64.600876,  45.439198, 113.360680,  55.038105,  20.507795,  76.566704,  69.129463,  73.530098,  52.606720,  87.649811,  58.739189,  45.521011,   9.233181, 153.871094, 112.725220,  94.166840,  71.669037,  26.270857,  25.020805,  25.200500, 148.991486,  81.449654,  76.479530,  98.578026,  28.055653,  78.875160,  79.628403,  42.475201,  31.526388, 104.163277,  57.915638, 149.906464,  56.248970,  77.707825,  72.167595,  30.148405,  57.873360,  31.125101,  73.971519,  91.069275,  29.399897,  44.431965,  27.065598,  39.272774,  21.135572,  46.251431,  41.923965,   4.705341,  36.904972,  74.013649,  21.666483,  69.090408,  51.446838,  54.160038,  56.999844,  33.414181,  23.880276,  33.755741, 126.883720,  12.733335,  58.338039, 120.734726,  28.937883,  12.791333,  40.827618,  90.768654,  90.123360,  81.617813,  30.074558,  59.345436,  30.235310,  38.780079,  24.049278,  58.954269
