AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
  16.747725,  22.002178,  25.748274,  56.201355,  38.340000,  28.701336,   2.530000,  65.999817,  62.467731,  12.865500,  24.111872,  50.010666,  64.583847,   9.844130,  20.402485, 636.770508, 159.949493,  23.356459,  32.108669,  68.871971,  78.099998,  40.698277,  15.286555,  49.866421,  40.446217,  80.630211,  42.736675,  14.324558,  37.605316,  69.481911,  70.571434,  36.621944,  46.303738,  40.364670,  39.644138,   7.739585,  82.568924,  55.257320,  78.259117,  27.615385,  22.110136,  18.013729,  18.099348, 107.063850,  49.084457,  48.949383, 119.927933,  15.386287,  55.980587,  51.974968,  32.691422,  26.398106,  90.492119,  38.358482,  67.441162,  29.537254,  47.666313,  66.621765,  21.190327,  32.405087,  21.541851,  27.970324,  51.153259,  16.528708,  27.764893,  14.930394,  22.532852,  13.064055,  13.144286,  22.821421,   2.935840,  29.274746,  50.181675,  16.196804,  49.835739,  49.406666,  47.180603,  40.385864,  22.453436,  13.216455,  26.519865,  89.843262,  11.287807,  42.911076,  62.488152,  15.940447,   2.357333,  23.817694,  45.892811,  50.297012,  53.966560,  23.119907,  35.874550,  25.332678,  25.331976,  18.145233,  55.648571
  16.536327,  21.820498,  26.728394,  55.997902,  37.750000,  28.465296,   2.490000,  65.585258,  60.942604,  12.924000,  24.237841,  50.223488,  64.919052,   9.786847,  20.174776, 647.074097, 160.385452,  23.734905,  32.217640,  69.534920,  77.980003,  40.832264,  15.115907,  49.312634,  40.418892,  81.456749,  42.122478,  14.402026,  37.681007,  69.186066,  70.394974,  36.972374,  46.403412,  40.277737,  39.832909,   7.892032,  82.875565,  55.474583,  77.378960,  27.574917,  22.633848,  18.024191,  18.109859, 106.478363,  48.945278,  49.138367, 119.268303,  15.343105,  55.790813,  51.901588,  32.625546,  26.398106,  90.492119,  38.521187,  67.643654,  29.259735,  47.734509,  66.998749,  21.166485,  32.861610,  21.511208,  27.740568,  51.093906,  16.538870,  28.429804,  14.899952,  22.230997,  13.065912,  13.798571,  23.054743,   2.938148,  28.954069,  50.203411,  16.159294,  49.519737,  48.905418,  46.961987,  40.534912,  22.604488,  13.198928,  26.513807,  89.123596,  11.294257,  43.888645,  62.295853,  15.825414,   2.318000,  23.508074,  43.747108,  50.367470,  54.016079,  22.797333,  35.902252,  25.212503,  25.122377,  18.029919,  55.548206
  16.075714,  21.544844,  26.567717,  56.307125,  38.130001,  28.559706,   2.590000,  65.873978,  60.887283,  12.957500,  24.082233,  50.742748,  65.103409,   9.909593,  20.713692, 646.754883, 163.903641,  23.813454,  33.027164,  69.917961,  77.599998,  41.306973,  15.107971,  50.460953,  40.869743,  81.194496,  42.347183,  14.423153,  37.839977,  69.551140,  71.116806,  37.010590,  47.291431,  40.395706,  39.985394,   7.956529,  83.147141,  55.148682,  77.745667,  27.858213,  22.664213,  18.380356,  18.467718, 109.381416,  48.852489,  50.143814, 118.486488,  15.227961,  56.224567,  52.495892,  33.203823,  26.440239,  91.103004,  39.946739,  67.896736,  29.039385,  47.732639,  66.422157,  21.245943,  33.008633,  22.032131,  28.729517,  51.471703,  16.528708,  28.188015,  15.364151,  21.814930,  13.130744,  13.711429,  23.279255,   3.035086,  29.207243,  50.275776,  16.228060,  49.620277,  49.281357,  46.269768,  40.857029,  22.735126,  13.549497,  26.750057,  89.162956,  11.361980,  44.195038,  62.843845,  15.989747,   2.293333,  23.456476,  43.831257,  51.248436,  54.150452,  23.295216,  36.195484,  25.349846,  25.252470,  18.098063,  55.805397
  15.981156,  21.588694,  26.784622,  56.063000,  37.939999,  28.268606,   2.670000,  65.540871,  60.816154,  13.423000,  23.948856,  50.955551,  63.796146,   9.893229,  20.410080, 655.702026, 163.602936,  23.849155,  33.058308,  70.131561,  77.400002,  40.610241,  15.040504,  51.210213,  40.418892,  80.566635,  42.189888,  14.289344,  37.870258,  69.079056,  71.060684,  37.010590,  46.185932,  40.203220,  39.716732,   7.874445,  82.980644,  55.761703,  77.488983,  28.284992,  22.512413,  18.300158,  18.387136, 109.178131,  48.589588,  50.166485, 117.967308,  15.292731,  56.287823,  52.385841,  33.240417,  26.187481,  90.902054,  39.892509,  68.128082,  28.370111,  48.559830,  67.205780,  21.182373,  33.395500,  21.934078,  29.388819,  51.536457,  16.488071,  28.288752,  15.067364,  21.774141,  13.069614,  14.171429,  23.314478,   2.947381,  29.055338,  50.268528,  16.240566,  49.282722,  49.127575,  46.641380,  40.659920,  22.747379,  13.382977,  26.283619,  89.798271,  11.413586,  44.720318,  63.334126,  15.710380,   2.289333,  23.530201,  43.831257,  51.005684,  53.994862,  23.084846,  36.454056,  25.573013,  25.129597,  17.925106,  55.159267
  16.024160,  21.118835,  26.792664,  56.388523,  38.139999,  28.048317,   2.670000,  65.259514,  61.061131,  13.319000,  23.785833,  51.244980,  62.120171,   9.803214,  20.129240, 655.741882, 161.069534,  23.913412,  33.050522,  69.240288,  77.199997,  40.702099,  15.143691,  50.623837,  39.872425,  80.415619,  42.437065,  14.303431,  37.733997,  68.770660,  70.322807,  36.749382,  45.995647,  40.296368,  39.360966,   7.827536,  83.322327,  54.636547,  76.645477,  28.476301,  22.292295,  18.264042,  18.350851, 108.194199,  48.883415,  49.697784, 117.802361,  15.177585,  55.834770,  52.393162,  33.306293,  26.004944,  91.537056,  40.194683,  67.217041,  28.386431,  48.400005,  67.227959,  21.198267,  33.356812,  22.062777,  29.029200,  51.541855,  16.325531,  28.329054,  14.953218,  21.659931,  13.208562,  13.880000,  23.067953,   2.882755,  29.063770,  50.420540,  16.265570,  49.203743,  49.036411,  46.568508,  40.169521,  22.706554,  13.339154,  26.210934,  89.472198,  11.267873,  44.238811,  62.939964,  15.332410,   2.245333,  23.257448,  43.250664,  50.970448,  53.846340,  23.119907,  36.793476,  24.950697,  25.086237,  17.974890,  55.504303
  15.773717,  21.237867,  26.969412,  56.787273,  38.660000,  28.134848,   2.630000,  65.644485,  61.424622,  13.317500,  24.311941,  51.296055,  64.324074,   9.353152,  20.197554, 649.926819, 161.490509,  24.049082,  32.723598,  69.564354,  78.599998,  40.629383,  15.246863,  50.745991,  39.790443,  80.455360,  42.901459,  14.296389,  38.059490,  68.946869,  71.429619,  38.100079,  46.013771,  40.364670,  39.716732,   7.897895,  84.776581,  54.846058,  76.828857,  28.649214,  22.747704,  18.384092,  18.471472, 109.226921,  48.844765,  50.302567, 117.466469,  15.436664,  56.324055,  52.627956,  33.284344,  25.997927,  91.529015,  41.039169,  67.961777,  28.468056,  49.761837,  67.131836,  21.492249,  33.565727,  22.093414,  30.557579,  52.032974,  16.203619,  28.604408,  14.930394,  21.782301,  13.115932,  13.701429,  23.089966,   2.818130,  29.080658,  50.673870,  16.546871,  49.469452,  48.888317,  47.275326,  40.650307,  22.302385,  13.260274,  26.083731,  89.910698,  11.231790,  43.903233,  65.112610,  15.431010,   2.242667,  23.589170,  44.066860,  51.248436,  54.454548,  23.330276,  37.354504,  24.892815,  25.086237,  17.969646,  55.291004
  15.969254,  21.300505,  27.194349,  56.290863,  38.619999,  28.166328,   2.620000,  65.007820,  62.167439,  13.267000,  24.838037,  51.747211,  64.600594,   9.639554,  20.364538, 651.951599, 164.444870,  24.341841,  33.338531,  70.035797,  79.000000,  41.111732,  15.278620,  51.202068,  39.961216,  80.065910,  43.223537,  14.394985,  38.778591,  69.532265,  72.111359,  38.221130,  46.022835,  40.588188,  40.036217,   8.108978,  85.591324,  55.598755,  77.635674,  28.674971,  23.104441,  18.467777,  18.555555, 111.707138,  49.192699,  50.211845, 117.808502,  15.688543,  56.550583,  52.965477,  33.782097,  25.948782,  91.778206,  41.256096,  68.048553,  29.014881,  49.318798,  67.567978,  21.698826,  33.929386,  22.424366,  31.266825,  52.292049,  16.609982,  28.732016,  15.478295,  21.586504,  13.243752,  14.000000,  23.133980,   2.822746,  29.460405,  51.252922,  16.728146,  49.749546,  49.719959,  47.202450,  40.852234,  22.265646,  13.435562,  26.180643,  89.899483,  11.274434,  43.998070,  64.929977,  15.989747,   2.235333,  23.906151,  44.689537,  51.326756,  55.303181,  23.589735,  37.058975,  25.234358,  25.584930,  17.914608,  55.893211
  15.871339,  21.459002,  26.920069,  56.868675,  38.090000,  27.717873,   2.670000,  64.378532,  62.254360,  13.397000,  25.445660,  52.130268,  62.983299,   9.516813,  20.326590, 653.816833, 166.143829,  24.370413,  32.957127,  70.116821,  78.389999,  40.996880,  15.262740,  50.485386,  39.804127,  79.700294,  43.280964,  14.423153,  38.831577,  70.325325,  71.878738,  38.087341,  45.832546,  40.786869,  39.963608,   8.208653,  85.328506,  54.892612,  77.488983,  28.726480,  23.043726,  18.430668,  18.518269, 111.511971,  49.254562,  50.128693, 118.767479,  15.832467,  56.740875,  53.082848,  33.774780,  25.913666,  91.633522,  41.147633,  67.759338,  29.243412,  49.415081,  67.811951,  21.786226,  34.099628,  22.271143,  31.686380,  51.962818,  16.726801,  29.034252,  15.348927,  21.888350,  13.297475,  14.470000,  23.376110,   2.818130,  29.418213,  51.303581,  16.578125,  49.713676,  50.824959,  47.289894,  40.953209,  22.457527,  13.488147,  26.144297,  89.944466,  11.241630,  43.822990,  64.939598,  15.677512,   2.194000,  23.898775,  44.445526,  51.279762,  55.105190,  23.491560,  37.209042,  25.066475,  25.368093,  17.985376,  56.213165
  15.305489,  21.611149,  26.912003,  56.852394,  38.160000,  27.576254,   2.640000,  64.348930,  62.191162,  13.636500,  25.616093,  52.104736,  64.148109,   9.385883,  20.281044, 661.227844, 167.030884,  24.434668,  32.863716,  69.704323,  78.180000,  41.318459,  15.445289,  49.907143,  39.940727,  79.771835,  43.445747,  14.768239,  39.278179,  71.030281,  72.071243,  37.966282,  45.841602,  40.600601,  40.166916,   8.202789,  86.222115,  54.589973,  77.452316,  28.612427,  23.020950,  18.013729,  18.099348, 110.698799,  49.084457,  50.468887, 117.649712,  15.832467,  56.795242,  53.236923,  33.584465,  25.969847,  91.713890,  40.907452,  67.903946,  28.876148,  48.931847,  67.664093,  21.833906,  34.215683,  22.246630,  30.917196,  52.394600,  16.757284,  29.108131,  15.272835,  21.937304,  13.280804,  14.778571,  23.415724,   2.815821,  29.502602,  51.600353,  16.715651,  50.008110,  50.733807,  46.808979,  41.251289,  22.318714,  13.382977,  26.077667,  89.640884,  11.159624,  44.056438,  64.949203,  15.628212,   2.217333,  23.839809,  44.899902,  51.424641,  56.038685,  23.470531,  37.091293,  24.655466,  25.129597,  17.898893,  56.194317
  14.822603,  21.934456,  26.637716,  57.169773,  38.150002,  27.411034,   2.680000,  62.986729,  62.681110,  13.595000,  25.097391,  51.721672,  64.474907,   9.451346,  20.326590, 661.656738, 167.827728,  24.491795,  33.136147,  70.470406,  78.320000,  41.245720,  15.556415,  50.249203,  40.323269,  80.391747,  43.605537,  14.775280,  39.202473,  71.401627,  71.966988,  38.221130,  46.294678,  41.010391,  39.941822,   8.384552,  86.441109,  54.768452,  77.745667,  28.461580,  23.225885,  18.055573,  18.141392, 110.259628,  49.447865,  50.559597, 117.576416,  15.746117,  57.039894,  53.097519,  33.928497,  26.201521,  91.480789,  41.287086,  67.983482,  29.325039,  48.865463,  67.649338,  22.016642,  34.146046,  22.240503,  30.068098,  52.507908,  16.650614,  28.792463,  15.546785,  22.198364,  13.316001,  14.527143,  23.613836,   2.765044,  29.283186,  51.824703,  16.640636,  50.187649,  50.648384,  46.954716,  41.328220,  22.241148,  13.400504,  26.041323,  90.062515,  11.074333,  44.567112,  65.122246,  15.743245,   2.260000,  23.795570,  45.118683,  51.463787,  56.102348,  23.337288,  37.045116,  24.296539,  25.375332,  18.077091,  56.162960
