AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
  71.429672,  72.681992,  80.406990, 197.311768, 329.809998,  45.599350,  45.860001, 211.536484, 206.562927,  92.391998, 276.848114, 116.868958, 323.833313,  31.670393,  44.029419,2048.487793, 451.470886,  55.233837,  67.826035, 133.830093, 485.079987,  62.196884,  40.321854,  95.141769,  55.144547, 271.300171, 162.427826,  41.707897,  65.924339,  99.559135, 163.585556, 133.821793, 144.160172,  76.605904,  68.771446,   7.764601, 140.656647, 157.886658,  54.454578,  54.583286,  35.509636,  66.850998,  66.969498, 206.906845, 197.153946, 162.122177, 104.272789,  53.343895, 254.367233, 130.009979, 122.053925,  48.463161, 199.822205, 123.771461, 347.025116, 111.005562, 291.172943, 179.254120,  50.005863, 100.963249,  43.866302, 205.032455, 118.269203,  35.208557,  76.015602,  44.639885, 151.685211,  54.890514, 323.570007,  96.942001,  58.593281,  49.294579, 121.235817,  31.371052, 112.436302,  67.221519,  80.123123,  84.614594,  80.589363,  44.765312,  53.572071, 116.177666,  20.746225, 116.729141, 321.654572,  77.769318,  27.888666, 113.909058, 276.337494, 164.776871, 102.101547,  49.445641, 182.425293,  48.101662,  48.004539,  37.065918,  56.098698
  73.059425,  73.511116,  80.490280, 196.918228, 334.429993,  45.981346,  49.099998, 210.685333, 205.376495,  94.900497, 282.428619, 118.555191, 331.348572,  32.048054,  44.545559,2069.284668, 457.110962,  54.887215,  68.963692, 136.412796, 490.429993,  61.546379,  40.680508,  95.788933,  55.509182, 269.057129, 166.772156,  42.417480,  65.808998, 100.319168, 166.984543, 135.242981, 147.718567,  75.875214,  69.871628,   7.864791, 144.275146, 159.748871,  58.211739,  54.793285,  36.266399,  68.368500,  68.433998, 210.857315, 198.309555, 165.593643, 105.346336,  54.226276, 258.475098, 130.099106, 123.533600,  48.147964, 197.794907, 124.506027, 355.928497, 111.654396, 295.853699, 182.138763,  49.324963, 101.951080,  44.425713, 209.557648, 120.669182,  34.742966,  76.926628,  45.443260, 154.493805,  54.088100, 329.809998,  97.793625,  59.741241,  50.197109, 120.481812,  31.339027, 111.095001,  67.300537,  80.540855,  86.524323,  81.900139,  45.395939,  52.663784, 113.159332,  20.629431, 114.780769, 323.139648,  77.937904,  28.684000, 115.045593, 274.946411, 166.125778, 101.866051,  49.370586, 185.551483,  47.827465,  47.959930,  37.097115,  56.999096
  72.349144,  72.813339,  79.509041, 196.590256, 331.809998,  45.625999,  48.599998, 209.254974, 205.475372,  93.748497, 275.244995, 117.377670, 330.791901,  31.382645,  43.976936,2060.207764, 452.252258,  54.401951,  67.664719, 134.518860, 494.470001,  61.456028,  40.357716,  94.300461,  55.712688, 269.278656, 165.953217,  41.725422,  65.285423,  99.972206, 165.747665, 134.405975, 146.024094,  75.925613,  68.915718,   7.689461, 142.489166, 161.315628,  58.406929,  54.658878,  35.237976,  68.032997,  68.075996, 208.391647, 197.650497, 163.825867, 104.506180,  53.566708, 256.746521, 128.592880, 121.903435,  47.885296, 192.651505, 124.091644, 368.735352, 110.857277, 292.967255, 181.494720,  49.243248, 101.345924,  43.969582, 208.448837, 119.630089,  35.011036,  76.266342,  44.709740, 152.570129,  54.473438, 325.899994,  97.525688,  58.785015,  50.020317, 120.313255,  31.170885, 110.347824,  67.174118,  79.024307,  86.642967,  81.423485,  44.247627,  52.613327, 113.362114,  20.735607, 113.588081, 319.624847,  77.521393,  29.534000, 113.518356, 272.164001, 164.950043, 101.804993,  48.795155, 184.075760,  47.318249,  47.665470,  36.769619,  56.540863
  72.925629,  73.387962,  79.925613, 195.306488, 333.709991,  45.661533,  48.389999, 210.860779, 205.421417,  95.143997, 274.833252, 116.868965, 331.766083,  31.337679,  44.388103,2042.174072, 452.638458,  54.575264,  67.452461, 134.428223, 497.450012,  61.880665,  40.052856,  93.449905,  56.374126, 269.352509, 173.223724,  41.874348,  65.542770,  99.633469, 166.937332, 134.807053, 145.176849,  76.295143,  69.483856,   7.647716, 142.600784, 163.025650,  59.236427,  55.146080,  34.772274,  69.710503,  69.890503, 210.524368, 198.580414, 162.589310, 104.319481,  53.415192, 258.717896, 128.432419, 121.806480,  47.867786, 191.834930, 124.553085, 368.173859, 111.552444, 293.747314, 183.535675,  49.161530, 102.244751,  43.849091, 212.374680, 119.744057,  35.152130,  76.592308,  44.552559, 152.964447,  54.745434, 335.829987,  97.439568,  59.031551,  50.280853, 120.774529,  31.130852, 110.500847,  67.956230,  78.561157,  86.829407,  80.781860,  44.558247,  52.823578, 113.954849,  20.756840, 112.513741, 321.921844,  77.967667,  30.102667, 112.728134, 274.053406, 163.537308, 101.351425,  48.127979, 183.677719,  47.216412,  47.379944,  36.694771,  56.974972
  72.582664,  72.969307,  79.481270, 191.089859, 333.390015,  45.403912,  48.250000, 208.877640, 201.044266,  95.343002, 273.887146, 116.256630, 335.285156,  31.130863,  44.834255,2062.771240, 455.530304,  55.398487,  66.866676, 132.652039, 499.160004,  61.031384,  40.476269,  92.525391,  56.374126, 268.927979, 175.770401,  41.602776,  65.294304,  98.361183, 164.038757, 136.132370, 145.226685,  75.816406,  69.655197,   7.722857, 143.996063, 161.172379,  58.797287,  54.700886,  34.102837,  69.667000,  69.755501, 211.910187, 197.280365, 162.680939, 104.389488,  52.523907, 258.776184, 129.216751, 119.735687,  47.500038, 192.247925, 124.788521, 369.412689, 110.885071, 292.752686, 183.807877,  48.952721, 101.888786,  44.141708, 212.834183, 119.261337,  34.968708,  74.552971,  44.465233, 151.569778,  54.697845, 330.750000,  97.391724,  59.746223,  50.392487, 118.876183,  31.026756, 109.816681,  68.256432,  80.795135,  86.552582,  80.534363,  44.821793,  52.663784, 112.660172,  20.836468, 112.714043, 323.743683,  78.265175,  31.270666, 114.903503, 272.398987, 162.297806, 101.176987,  47.669296, 183.192337,  46.691517,  46.987343,  36.354797,  56.508698
  73.750237,  73.486473,  79.805267, 191.464676, 337.869995,  45.936932,  47.830002, 209.035599, 202.787933,  94.598503, 270.470520, 118.263153, 329.410095,  31.445587,  44.886745,2057.634277, 455.422516,  55.337830,  67.376068, 133.830093, 500.769989,  62.585377,  40.890667,  93.505386,  55.068222, 272.010895, 177.098663,  41.629055,  64.477921,  97.237633, 166.078140, 136.271851, 144.927658,  75.925613,  69.898682,   7.722857, 146.163483, 161.584198,  58.260540,  55.272091,  33.617733,  70.216003,  70.251999, 213.952820, 200.232513, 162.818329, 105.260780,  52.559544, 265.001068, 129.198944, 120.669746,  47.587597, 194.650696, 125.918617, 366.320160, 112.646187, 297.918152, 186.783203,  49.070755, 103.677544,  44.606453, 214.991898, 121.091522,  35.328487,  74.051491,  45.032841, 153.984039,  54.672901, 339.260010,  97.171638,  59.858276,  50.588760, 119.488289,  31.274973, 110.284813,  69.552048,  80.559029,  86.682526,  81.469337,  45.094753,  52.646965, 113.401108,  20.900169, 112.349876, 324.258453,  78.761024,  32.809334, 115.214249, 278.142334, 164.075089, 101.752663,  47.569229, 186.328171,  46.777691,  47.130108,  36.230042,  55.656536
  75.316757,  74.052895,  80.018181, 193.170074, 340.450012,  46.443287,  48.970001, 209.658661, 203.551941,  95.052498, 268.298004, 120.401581, 334.350708,  31.499537,  45.035454,2078.969971, 460.810974,  56.715630,  67.987335, 133.494812, 507.279999,  63.118465,  40.998779,  94.771980,  56.026451, 276.376923, 179.365707,  41.453857,  64.655388,  97.080688, 167.683212, 137.475098, 144.359512,  76.110359,  70.160210,   7.731206, 147.019272, 162.595917,  58.114162,  55.305676,  34.034920,  70.991501,  70.989502, 218.308212, 203.302048, 164.018234, 106.373192,  52.853683, 267.482330, 129.582184, 121.110359,  48.454418, 196.020966, 127.999825, 369.795959, 113.128181, 301.824036, 188.996552,  49.197853, 105.359520,  45.071190, 218.068634, 121.473633,  35.674145,  74.703407,  45.460732, 155.907761,  55.101315, 335.660004,  97.104691,  60.515671,  50.822399, 119.568108,  31.138865, 111.491066,  69.741646,  81.648766,  86.812469,  82.981743,  45.283001,  53.202023, 112.488609,  20.964191, 112.440895, 326.347595,  79.147789,  32.089333, 116.608284, 276.563110, 163.236588, 101.988159,  47.585903, 187.619415,  46.583763,  47.049812,  36.604317,  56.082611
  75.487030,  73.108856,  79.018425, 194.584991, 339.809998,  46.221203,  48.169998, 209.070724, 207.443771,  94.157997, 262.130615, 119.902313, 327.968689,  31.238770,  44.213139,2081.572998, 459.984863,  56.525005,  67.282684, 132.425491, 505.029999,  63.380474,  40.521320,  93.884430,  55.475262, 274.364624, 179.964920,  41.287407,  63.989834,  96.196693, 163.746078, 137.867493, 144.150192,  75.959206,  69.384659,   7.722857, 145.698395, 160.715775,  56.943089,  54.625275,  33.617733,  71.486504,  71.447998, 217.867294, 202.426331, 163.660980, 106.334290,  52.532814, 267.822876, 129.288071, 119.903137,  48.620777, 196.236877, 129.958618, 368.815582, 112.154938, 303.845276, 188.016846,  49.252331, 105.582016,  45.157246, 217.828873, 120.984238,  35.427242,  74.828789,  45.591709, 155.186386,  55.205582, 329.049988,  96.549675,  60.839401,  50.887821, 119.337448,  31.619267, 111.599113,  69.093834,  81.966606,  85.801125,  82.642609,  44.991215,  53.538429, 112.925323,  20.839916, 113.560760, 325.476288,  78.344505,  31.876667, 115.427376, 277.418518, 162.179321, 101.063629,  47.260658, 188.124268,  46.694576,  46.844578,  36.298660,  55.584175
  77.099762,  72.665573,  78.796257, 196.393448, 345.630005,  46.745331,  48.750000, 207.894867, 211.587234,  94.565002, 263.847687, 121.089264, 328.266907,  31.526514,  44.510574,2075.189453, 469.800873,  57.322216,  68.471283, 133.050751, 510.149994,  63.371437,  41.260036,  94.217278,  55.229351, 276.792206, 183.610168,  42.023270,  64.566643,  96.378464, 164.982910, 139.131775, 143.412613,  76.631104,  69.790466,   7.714507, 148.163422, 162.166183,  59.138840,  54.020481,  33.937893,  71.961502,  72.001503, 220.656876, 201.631851, 166.033310, 106.264282,  53.112148, 268.591583, 129.858490, 120.898857,  49.146122, 198.789780, 130.843842, 373.441040, 112.201279, 307.790161, 187.327423,  49.561005, 105.021355,  45.251919, 221.674805, 121.285912,  35.808182,  74.812042,  46.089458, 157.052383,  55.851589, 338.920013,  97.755356,  62.746845,  51.009319, 121.111595,  31.555216, 112.418312,  69.378235,  82.611366,  85.908470,  83.485893,  45.198284,  54.278515, 113.315315,  20.585970, 112.777763, 328.733765,  78.741188,  34.990665, 115.382973, 268.695496, 163.965698, 101.831146,  47.294022, 189.638824,  46.821232,  46.496590,  36.142708,  56.114780
  76.058670,  73.381096,  79.707298, 194.650574, 344.630005,  46.496597,  48.209999, 210.597565, 210.274979,  93.472000, 269.979950, 121.334221, 330.384308,  31.760309,  44.624302,2066.192627, 465.499084,  57.573524,  69.541000, 132.923904, 509.619995,  63.506973,  41.467228,  94.818192,  55.237823, 276.681549, 181.882401,  41.865585,  65.516136,  96.081047, 163.972656, 140.718658, 144.728317,  76.681511,  69.321526,   7.756252, 150.814545, 162.022919,  58.699688,  53.928078,  34.102837,  71.543999,  71.529503, 221.061829, 201.153397, 165.282196, 105.657516,  52.969547, 265.322174, 130.589279, 122.308754,  49.032295, 197.062805, 132.454193, 370.874329, 111.292908, 303.327789, 188.062210,  49.197853, 104.158119,  44.916271, 218.827820, 121.587570,  35.885780,  75.163086,  46.159321, 155.946243,  56.153065, 338.690002,  98.482582,  61.576485,  51.289688, 121.395485,  32.083668, 112.247261,  69.188629,  82.239029,  85.620316,  83.403389,  44.906490,  54.598095, 114.750359,  20.580568, 114.043297, 329.505981,  79.137871,  35.861332, 116.022255, 270.941986, 164.786011, 102.284698,  47.193943, 190.337845,  46.734158,  43.989288,  36.236275,  55.632408
