AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
 2.281619e-02, 1.140756e-02, 1.035856e-03,-1.994506e-03, 1.400805e-02, 8.377228e-03, 7.064976e-02,-4.023658e-03,-5.743683e-03, 2.715061e-02, 2.015728e-02, 1.442841e-02, 2.320718e-02, 1.192473e-02, 1.172262e-02, 1.015231e-02, 1.249267e-02,-6.275546e-03, 1.677316e-02, 1.929837e-02, 1.102912e-02,-1.045880e-02, 8.894780e-03, 6.802095e-03, 6.612358e-03,-8.267750e-03, 2.674622e-02, 1.701316e-02,-1.749599e-03, 7.633982e-03, 2.077804e-02, 1.062001e-02, 2.468362e-02,-9.538299e-03, 1.599765e-02, 1.290345e-02, 2.572576e-02, 1.179462e-02, 6.899622e-02, 3.847315e-03, 2.131150e-02, 2.269976e-02, 2.186817e-02, 1.909299e-02, 5.861456e-03, 2.141265e-02, 1.029557e-02, 1.654138e-02, 1.614935e-02, 6.855365e-04, 1.212313e-02,-6.503847e-03,-1.014551e-02, 5.934855e-03, 2.565630e-02, 5.845061e-03, 1.607552e-02, 1.609248e-02,-1.361641e-02, 9.784066e-03, 1.275262e-02, 2.207061e-02, 2.029251e-02,-1.322381e-02, 1.198472e-02, 1.799680e-02, 1.851594e-02,-1.461844e-02, 1.928482e-02, 8.784877e-03, 1.959202e-02, 1.830892e-02,-6.219329e-03,-1.020826e-03,-1.192943e-02, 1.175481e-03, 5.213629e-03, 2.256974e-02, 1.626487e-02, 1.408740e-02,-1.695449e-02,-2.598032e-02,-5.629679e-03,-1.669139e-02, 4.616993e-03, 2.167779e-03, 2.851818e-02, 9.977570e-03,-5.033999e-03, 8.186267e-03,-2.306493e-03,-1.517913e-03, 1.713682e-02,-5.700357e-03,-9.292677e-04, 8.416517e-04, 1.605025e-02
-9.721968e-03,-9.492126e-03,-1.219078e-02,-1.665526e-03,-7.834211e-03,-7.728062e-03,-1.018330e-02,-6.789077e-03, 4.814424e-04,-1.213903e-02,-2.543519e-02,-9.932258e-03,-1.680017e-03,-2.076285e-02,-1.276497e-02,-4.386494e-03,-1.062916e-02,-8.841109e-03,-1.883561e-02,-1.388386e-02, 8.237687e-03,-1.468017e-03,-7.934809e-03,-1.553908e-02, 3.666177e-03, 8.233460e-04,-4.910527e-03,-1.631541e-02,-7.955976e-03,-3.458581e-03,-7.407137e-03,-6.188902e-03,-1.147096e-02, 6.642456e-04,-1.368094e-02,-2.229311e-02,-1.237899e-02, 9.807626e-03, 3.353111e-03,-2.452984e-03,-2.835747e-02,-4.907269e-03,-5.231343e-03,-1.169354e-02,-3.323378e-03,-1.067539e-02,-7.975185e-03,-1.216327e-02,-6.687595e-03,-1.157752e-02,-1.319613e-02,-5.455446e-03,-2.600371e-02,-3.328216e-03, 3.598154e-02,-7.139165e-03,-9.756322e-03,-3.536002e-03,-1.656659e-03,-5.935748e-03,-1.026727e-02,-5.291195e-03,-8.611089e-03, 7.715813e-03,-8.583321e-03,-1.614146e-02,-1.245147e-02, 7.124263e-03,-1.185532e-02,-2.739818e-03,-1.600613e-02,-3.521959e-03,-1.399018e-03,-5.365269e-03,-6.725569e-03,-1.878426e-03,-1.882955e-02, 1.371230e-03,-5.819942e-03,-2.529547e-02,-9.580968e-04, 1.792001e-03, 5.146840e-03,-1.039101e-02,-1.087703e-02,-5.344146e-03, 2.963326e-02,-1.327506e-02,-1.011983e-02,-7.077381e-03,-5.993954e-04,-1.165536e-02,-7.953174e-03,-1.064694e-02,-6.139715e-03,-8.828061e-03,-8.039301e-03
 7.968093e-03, 7.891729e-03, 5.239311e-03,-6.530170e-03, 5.726150e-03, 7.788083e-04,-4.320969e-03, 7.673913e-03,-2.625866e-04, 1.488557e-02,-1.495915e-03,-4.333917e-03, 2.945000e-03,-1.432822e-03, 9.349609e-03,-8.753336e-03, 8.539481e-04, 3.185789e-03,-3.136899e-03,-6.737881e-04, 6.026677e-03, 6.909604e-03,-7.553925e-03,-9.019632e-03, 1.187230e-02, 2.742606e-04, 4.381059e-02, 3.569186e-03, 3.941877e-03,-3.388317e-03, 7.177578e-03, 2.984073e-03,-5.802085e-03, 4.866997e-03, 8.243956e-03,-5.428883e-03, 7.833441e-04, 1.060047e-02, 1.420205e-02, 8.913496e-03,-1.321591e-02, 2.465723e-02, 2.665413e-02, 1.023420e-02, 4.704852e-03,-7.547996e-03,-1.786487e-03,-2.828547e-03, 7.678291e-03,-1.247825e-03,-7.953373e-04,-3.656542e-04,-4.238607e-03, 3.718550e-03,-1.522753e-03, 6.270834e-03, 2.662618e-03, 1.124526e-02,-1.659485e-03, 8.868897e-03,-2.740327e-03, 1.883360e-02, 9.526692e-04, 4.029992e-03, 4.274046e-03,-3.515583e-03, 2.584501e-03, 4.993177e-03, 3.046945e-02,-8.830556e-04, 4.193862e-03, 5.208607e-03, 3.833935e-03,-1.284318e-03, 1.386731e-03, 1.164306e-02,-5.860855e-03, 2.151814e-03,-7.880091e-03, 7.020023e-03, 3.996152e-03, 5.228689e-03, 1.023968e-03,-9.458218e-03, 7.186541e-03, 5.756783e-03, 1.925464e-02,-6.961184e-03, 6.942154e-03,-8.564623e-03,-4.455258e-03,-1.367298e-02,-2.162375e-03,-2.152175e-03,-5.990212e-03,-2.035598e-03, 7.677788e-03
-4.702931e-03,-5.704688e-03,-5.559464e-03,-2.158981e-02,-9.588469e-04,-5.641987e-03,-2.893147e-03,-9.404969e-03,-2.130816e-02, 2.091620e-03,-3.442473e-03,-5.239502e-03, 1.060709e-02,-6.599586e-03, 1.005116e-02, 1.008590e-02, 6.388864e-03, 1.508418e-02,-8.684411e-03,-1.321288e-02, 3.437514e-03,-1.372450e-02, 1.057134e-02,-9.893159e-03, 0.000000e+00,-1.576113e-03, 1.470166e-02,-6.485405e-03,-3.790906e-03,-1.276966e-02,-1.736325e-02, 9.831217e-03, 3.432724e-04,-6.274801e-03, 2.465910e-03, 9.825343e-03, 9.784511e-03,-1.136797e-02,-7.413349e-03,-8.072999e-03,-1.925205e-02,-6.240495e-04,-1.931623e-03, 6.582699e-03,-6.546712e-03, 5.635612e-04, 6.710858e-04,-1.668598e-02, 2.252978e-04, 6.106965e-03,-1.700068e-02,-7.682583e-03, 2.152863e-03, 1.890242e-03, 3.364798e-03,-5.982600e-03,-3.386002e-03, 1.483099e-03,-4.247404e-03,-3.481496e-03, 6.673292e-03, 2.163644e-03,-4.031260e-03,-5.217951e-03,-2.662587e-02,-1.960068e-03,-9.117600e-03,-8.692661e-04,-1.512666e-02,-4.910113e-04, 1.210661e-02, 2.220195e-03,-1.571810e-02,-3.343804e-03,-6.191500e-03, 4.417570e-03, 2.843617e-02,-3.188147e-03,-3.063776e-03, 5.914640e-03,-3.025048e-03,-1.136132e-02, 3.836229e-03, 1.780246e-03, 5.659257e-03, 3.815790e-03, 3.880052e-02, 1.929748e-02,-6.036849e-03,-7.579322e-03,-1.721125e-03,-9.530486e-03,-2.642575e-03,-1.111679e-02,-8.286228e-03,-9.264902e-03,-8.183844e-03
 1.608610e-02, 7.087448e-03, 4.076401e-03, 1.961469e-03, 1.343766e-02, 1.173952e-02,-8.704625e-03, 7.562274e-04, 8.673053e-03,-7.808640e-03,-1.247458e-02, 1.725943e-02,-1.752258e-02, 1.010971e-02, 1.170762e-03,-2.490321e-03,-2.366211e-04,-1.094931e-03, 7.618022e-03, 8.880789e-03, 3.225389e-03, 2.546220e-02, 1.023805e-02, 1.059164e-02,-2.316496e-02, 1.146372e-02, 7.556803e-03, 6.316754e-04,-1.250313e-02,-1.142270e-02, 1.243232e-02, 1.024595e-03,-2.059033e-03, 1.440416e-03, 3.495568e-03, 0.000000e+00, 1.505194e-02, 2.555149e-03,-9.128771e-03, 1.044234e-02,-1.422473e-02, 7.880397e-03, 7.117691e-03, 9.639145e-03, 1.496423e-02, 8.445374e-04, 8.346550e-03, 6.784892e-04, 2.405509e-02,-1.378073e-04, 7.801009e-03, 1.843341e-03, 1.249829e-02, 9.056093e-03,-8.371476e-03, 1.588235e-02, 1.764447e-02, 1.618715e-02, 2.411191e-03, 1.755598e-02, 1.052847e-02, 1.013801e-02, 1.534600e-02, 1.028861e-02,-6.726494e-03, 1.276521e-02, 1.592838e-02,-4.560382e-04, 2.572943e-02,-2.259793e-03, 1.875481e-03, 3.894902e-03, 5.149108e-03, 8.000083e-03, 4.262850e-03, 1.898160e-02,-2.922291e-03, 1.501328e-03, 1.160964e-02, 6.089910e-03,-3.193656e-04, 6.576737e-03, 3.057218e-03,-3.230886e-03, 1.590056e-03, 6.335508e-03, 4.920483e-02, 2.704402e-03, 2.108432e-02, 1.095075e-02, 5.689792e-03,-2.099195e-03, 1.711771e-02, 1.845603e-03, 3.038372e-03,-3.431620e-03,-1.508018e-02
 2.124089e-02, 7.707834e-03, 2.667913e-03, 8.907119e-03, 7.636124e-03, 1.102284e-02, 2.383440e-02, 2.980651e-03, 3.767520e-03, 4.799175e-03,-8.032357e-03, 1.808194e-02, 1.499836e-02, 1.715642e-03, 3.312968e-03, 1.036904e-02, 1.183178e-02, 2.489798e-02, 9.072466e-03,-2.505276e-03, 1.300000e-02, 8.517783e-03, 2.643937e-03, 1.354568e-02, 1.740076e-02, 1.605093e-02, 1.280102e-02,-4.208541e-03, 2.752374e-03,-1.614028e-03, 9.664559e-03, 8.829755e-03,-3.920202e-03, 2.433247e-03, 3.741530e-03, 1.081131e-03, 5.855014e-03, 6.261248e-03,-2.512465e-03, 6.076230e-04, 1.240972e-02, 1.104445e-02, 1.049797e-02, 2.035679e-02, 1.532985e-02, 7.369597e-03, 1.056815e-02, 5.596317e-03, 9.363216e-03, 2.966276e-03, 3.651394e-03, 1.821528e-02, 7.039635e-03, 1.652819e-02, 9.488420e-03, 4.278837e-03, 1.311059e-02, 1.184983e-02, 2.590098e-03, 1.622315e-02, 1.041860e-02, 1.431094e-02, 3.155552e-03, 9.784097e-03, 8.803557e-03, 9.501750e-03, 1.249299e-02, 7.835937e-03,-1.061135e-02,-6.889658e-04, 1.098251e-02, 4.618393e-03, 6.680046e-04,-4.351991e-03, 1.093762e-02, 2.725989e-03, 1.352719e-02, 1.499078e-03, 1.856411e-02, 4.174492e-03, 1.054301e-02,-8.046645e-03, 3.063232e-03, 8.101360e-04, 6.442829e-03, 4.910608e-03,-2.194501e-02, 1.209950e-02,-5.677754e-03,-5.110471e-03, 2.314402e-03, 3.505216e-04, 6.929948e-03,-4.145732e-03,-1.703700e-03, 1.033052e-02, 7.655435e-03
 2.260756e-03,-1.274816e-02,-1.249411e-02, 7.324721e-03,-1.879908e-03,-4.781833e-03,-1.633659e-02,-2.804255e-03, 1.911959e-02,-9.410597e-03,-2.298708e-02,-4.146686e-03,-1.908780e-02,-8.278439e-03,-1.825929e-02, 1.252075e-03,-1.792733e-03,-3.361053e-03,-1.036444e-02,-8.010204e-03,-4.435420e-03, 4.151062e-03,-1.164569e-02,-9.365114e-03,-9.838021e-03,-7.280994e-03, 3.340731e-03,-4.015320e-03,-1.029387e-02,-9.105777e-03,-2.347959e-02, 2.854299e-03,-1.449992e-03,-1.985979e-03,-1.105400e-02,-1.079963e-03,-8.984380e-03,-1.156328e-02,-2.015127e-02,-1.230255e-02,-1.225761e-02, 6.972704e-03, 6.458646e-03,-2.019704e-03,-4.307468e-03,-2.178136e-03,-3.657151e-04,-6.070900e-03, 1.273152e-03,-2.269704e-03,-9.967950e-03, 3.433308e-03, 1.101473e-03, 1.530310e-02,-2.651130e-03,-8.603017e-03, 6.696750e-03,-5.183723e-03, 1.107318e-03, 2.111779e-03, 1.909330e-03,-1.099477e-03,-4.028818e-03,-6.921048e-03, 1.678390e-03, 2.881116e-03,-4.626931e-03, 1.892280e-03,-1.969259e-02,-5.715641e-03, 5.349531e-03, 1.287268e-03,-1.929105e-03, 1.542773e-02, 9.691134e-04,-9.288738e-03, 3.892779e-03,-1.164977e-02,-4.086853e-03,-6.443614e-03, 6.323194e-03, 3.882297e-03,-5.927975e-03, 9.959592e-03,-2.669875e-03,-1.014916e-02,-6.627298e-03,-1.012714e-02, 3.092993e-03,-6.476895e-03,-9.065072e-03,-6.834900e-03, 2.690832e-03, 2.378793e-03,-4.362069e-03,-8.350284e-03,-8.887532e-03
 2.136436e-02,-6.063329e-03,-2.811597e-03, 9.293915e-03, 1.712724e-02, 1.133956e-02, 1.204073e-02,-5.624209e-03, 1.997391e-02, 4.322578e-03, 6.550443e-03, 9.899314e-03, 9.092873e-04, 9.211135e-03, 6.727316e-03,-3.066693e-03, 2.133985e-02, 1.410368e-02, 1.766574e-02, 4.721594e-03, 1.013800e-02,-1.425836e-04, 1.823031e-02, 3.545291e-03,-4.432798e-03, 8.848013e-03, 2.025533e-02, 1.782293e-02, 9.014071e-03, 1.889569e-03, 7.553351e-03, 9.170271e-03,-5.116742e-03, 8.845510e-03, 5.848663e-03,-1.081254e-03, 1.691870e-02, 9.024683e-03, 3.856045e-02,-1.107168e-02, 9.523543e-03, 6.644590e-03, 7.746962e-03, 1.280404e-02,-3.924783e-03, 1.449539e-02,-6.583702e-04, 1.102805e-02, 2.870208e-03, 4.412003e-03, 8.304369e-03, 1.080495e-02, 1.300929e-02, 6.811579e-03, 1.254138e-02, 4.131868e-04, 1.298320e-02,-3.666813e-03, 6.267193e-03,-5.310197e-03, 2.096522e-03, 1.765575e-02, 2.493497e-03, 1.075273e-02,-2.237978e-04, 1.091754e-02, 1.202423e-02, 1.170185e-02, 2.999552e-02, 1.248767e-02, 3.135212e-02, 2.387567e-03, 1.486664e-02,-2.025685e-03, 7.340548e-03, 4.116155e-03, 7.866132e-03, 1.251098e-03, 1.020399e-02, 4.602441e-03, 1.382345e-02, 3.453537e-03,-1.218557e-02,-6.894962e-03, 1.000834e-02, 5.063313e-03, 9.768896e-02,-3.846841e-04,-3.144355e-02, 1.101483e-02, 7.594395e-03, 7.059432e-04, 8.050832e-03, 2.712426e-03,-7.428568e-03,-4.296369e-03, 9.545978e-03
-1.350318e-02, 9.846792e-03, 1.156199e-02,-8.874401e-03,-2.893267e-03,-5.321035e-03,-1.107694e-02, 1.300031e-02,-6.201961e-03,-1.155821e-02, 2.324168e-02, 2.022945e-03, 6.450242e-03, 7.415827e-03, 2.555069e-03,-4.335424e-03,-9.156621e-03, 4.384137e-03, 1.562286e-02,-9.533679e-04,-1.038908e-03, 2.138758e-03, 5.021602e-03, 6.377960e-03, 1.534047e-04,-3.997827e-04,-9.409980e-03,-3.752310e-03, 1.470563e-02,-3.085925e-03,-6.123385e-03, 1.140562e-02, 9.174258e-03, 6.577931e-04,-6.719266e-03, 5.411320e-03, 1.789324e-02,-8.834442e-04,-7.425776e-03,-1.710526e-03, 4.860163e-03,-5.801760e-03,-6.555420e-03, 1.835216e-03,-2.372912e-03,-4.523875e-03,-5.709969e-03,-2.684904e-03,-1.217242e-02, 5.627581e-03, 1.166179e-02,-2.316088e-03,-8.687441e-03, 1.230743e-02,-6.873137e-03,-8.095906e-03,-1.449810e-02, 3.922474e-03,-7.327365e-03,-8.219619e-03,-7.417312e-03,-1.284307e-02, 2.487170e-03, 2.167063e-03, 4.692342e-03, 1.515799e-03,-7.043129e-03, 5.397797e-03,-6.786586e-04, 7.439247e-03,-1.865210e-02, 5.496423e-03, 2.344035e-03, 1.674690e-02,-1.521558e-03,-2.732928e-03,-4.507096e-03,-3.354205e-03,-9.882421e-04,-6.455861e-03, 5.887782e-03, 1.266416e-02,-2.623929e-04, 1.122148e-02, 2.349064e-03, 5.037805e-03, 2.488282e-02, 5.540525e-03, 8.360730e-03, 5.002952e-03, 4.453964e-03,-2.116094e-03, 3.686062e-03,-1.859718e-03,-5.392441e-02, 2.588818e-03,-8.596172e-03
-4.285616e-03, 1.201804e-02, 1.912754e-02, 1.594937e-03,-4.903817e-03,-1.069949e-02, 7.052482e-03, 7.083174e-03, 6.112442e-03,-3.969127e-03,-1.635378e-02, 7.919254e-03,-7.672617e-03,-1.840321e-02,-6.273384e-03,-3.051001e-03, 2.303613e-02, 2.107198e-03,-8.180033e-03,-7.567297e-03, 1.134184e-02, 7.255779e-03, 5.431362e-03,-2.145074e-03,-2.149270e-03, 3.569262e-03,-5.820294e-03, 4.603450e-03, 1.950431e-02,-1.462020e-03,-4.318306e-03,-3.655877e-03,-6.060571e-03, 1.303369e-02,-2.731642e-03,-1.076421e-02,-1.838051e-02, 3.536525e-03,-1.330004e-02,-1.557553e-03, 0.000000e+00, 5.814609e-03, 6.018443e-03,-1.831854e-03, 7.988750e-03, 1.551708e-03, 5.890066e-03,-8.244987e-03, 1.173673e-03, 3.344356e-03,-1.498554e-02, 1.250000e-02, 7.049017e-03, 3.270427e-03, 1.155856e-02,-4.580671e-03, 1.162127e-02, 1.181727e-02, 1.014948e-02, 2.477694e-03,-6.514569e-03, 9.540760e-03,-8.766543e-03, 7.470096e-03, 1.790296e-02, 1.513092e-03, 6.476066e-03, 1.554110e-02, 1.121984e-03,-1.263217e-03,-6.915230e-03,-2.186640e-03, 1.717187e-02, 1.497407e-02, 1.018530e-02, 8.449510e-03,-9.827693e-03, 2.771504e-03, 6.044815e-03,-1.236616e-02, 1.016652e-02,-2.035829e-04,-5.776011e-03,-6.594285e-02, 7.211835e-03, 5.889754e-03,-3.610201e-02,-1.147925e-02, 2.834474e-02, 0.000000e+00, 5.628098e-03,-2.862716e-02, 1.912790e-02, 1.016237e-03,-1.987828e-02,-7.746716e-03,-1.589720e-03
